mouse x is 100 , y is 500
mouse x is 100 , y is 500
mouse x is 100 , y is 500
mouse x is 100 , y is 500
mouse x is 100 , y is 500
mouse x is 100 , y is 500
mouse x is 100 , y is 500
mouse x is 100 , y is 500
mouse x is 100 , y is 500
mouse x is 100 , y is 500
mouse x is 100 , y is 500
mouse x is 100 , y is 500
mouse x is 90 , y is 90
mouse x is 110 , y is 110
mouse x is 130 , y is 130
mouse x is 90 , y is 90
mouse x is 110 , y is 110
mouse x is 70 , y is 70
mouse x is 130 , y is 130
mouse x is 190 , y is 190
mouse x is 210 , y is 210
mouse x is 170 , y is 170
mouse x is 150 , y is 150
mouse x is 230 , y is 230
mouse x is 270 , y is 270
mouse x is 330 , y is 330
mouse x is 450 , y is 450
mouse x is 290 , y is 290
mouse x is 390 , y is 390
mouse x is 310 , y is 310
mouse x is 350 , y is 350
mouse x is 370 , y is 370
mouse x is 490 , y is 490
mouse x is 530 , y is 530
mouse x is 550 , y is 550
mouse x is 470 , y is 470
mouse x is 630 , y is 630
mouse x is 610 , y is 610
mouse x is 410 , y is 410
mouse x is 590 , y is 590
mouse x is 570 , y is 570
mouse x is 430 , y is 430
